,State,State Code,City,Occupation Code,Occupation,Employment Count,Average Hourly Wages,Average Annual Wages
36143,FL,45220,"Tallahassee, FL",15-1199,"Computer Occupations, All Other",450,28.89,60100
36144,FL,45220,"Tallahassee, FL",15-2011,Actuaries,40,40.85,84970
36145,FL,45220,"Tallahassee, FL",15-2031,Operations Research Analysts,50,26.69,55500
36552,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",15-0000,Computer and Mathematical Occupations,41120,36.98,76910
36553,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",15-1111,Computer and Information Research Scientists,30,57.08,118730
36554,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",15-1121,Computer Systems Analysts,4000,38.78,80660
36555,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",15-1122,Information Security Analysts,1150,40.26,83740
36556,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",15-1131,Computer Programmers,2090,38.3,79660
36557,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",15-1132,"Software Developers, Applications",7800,44.06,91650
36558,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",15-1133,"Software Developers, Systems Software",3070,45.75,95170
36559,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",15-1134,Web Developers,1020,31.19,64870
36560,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",15-1141,Database Administrators,1470,41.92,87200
36561,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",15-1142,Network and Computer Systems Administrators,3540,37.88,78790
36562,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",15-1143,Computer Network Architects,2420,42.35,88080
36563,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",15-1151,Computer User Support Specialists,8550,24.16,50250
36564,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",15-1152,Computer Network Support Specialists,2060,31.23,64950
36565,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",15-1199,"Computer Occupations, All Other",2610,39.92,83040
36566,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",15-2011,Actuaries,110,55.19,114790
36567,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",15-2031,Operations Research Analysts,1080,34.32,71380
36568,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",15-2041,Statisticians,100,40.31,83840
37144,FL,45540,"The Villages, FL",15-0000,Computer and Mathematical Occupations,150,33.6,69880
37145,FL,45540,"The Villages, FL",15-1151,Computer User Support Specialists,40,24.94,51880
37339,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",15-0000,Computer and Mathematical Occupations,14030,35.9,74680
37340,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",15-1121,Computer Systems Analysts,1270,38.02,79080
37341,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",15-1122,Information Security Analysts,280,36.01,74900
37342,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",15-1131,Computer Programmers,840,41.09,85460
37343,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",15-1132,"Software Developers, Applications",2300,45.27,94160
37344,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",15-1133,"Software Developers, Systems Software",840,46.75,97240
37345,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",15-1134,Web Developers,580,31.46,65440
37346,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",15-1141,Database Administrators,490,41.35,86000
37347,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",15-1142,Network and Computer Systems Administrators,1090,41.5,86310
37348,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",15-1143,Computer Network Architects,1420,41.29,85880
37349,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",15-1151,Computer User Support Specialists,2940,22.8,47430
37350,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",15-1152,Computer Network Support Specialists,1140,25.06,52130
37351,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",15-1199,"Computer Occupations, All Other",440,34.7,72170
37352,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",15-2011,Actuaries,**,51.52,107150
37353,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",15-2031,Operations Research Analysts,290,33.85,70400
37354,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",15-2041,Statisticians,40,25.22,52460
37858,GA,10500,"Albany, GA",15-0000,Computer and Mathematical Occupations,620,30.44,63310
37859,GA,10500,"Albany, GA",15-1121,Computer Systems Analysts,40,28.65,59580
37860,GA,10500,"Albany, GA",15-1132,"Software Developers, Applications",40,44.54,92630
37861,GA,10500,"Albany, GA",15-1142,Network and Computer Systems Administrators,30,33.89,70500
37862,GA,10500,"Albany, GA",15-1151,Computer User Support Specialists,260,21.4,44510
37863,GA,10500,"Albany, GA",15-1199,"Computer Occupations, All Other",130,40.1,83420
38122,GA,12020,"Athens-Clarke County, GA",15-0000,Computer and Mathematical Occupations,1530,29.75,61880
38123,GA,12020,"Athens-Clarke County, GA",15-1121,Computer Systems Analysts,140,33.75,70200
38124,GA,12020,"Athens-Clarke County, GA",15-1131,Computer Programmers,110,38.23,79530
38125,GA,12020,"Athens-Clarke County, GA",15-1132,"Software Developers, Applications",80,31.78,66110
38126,GA,12020,"Athens-Clarke County, GA",15-1141,Database Administrators,340,28.32,58910
38127,GA,12020,"Athens-Clarke County, GA",15-1142,Network and Computer Systems Administrators,100,34.71,72210
38128,GA,12020,"Athens-Clarke County, GA",15-1151,Computer User Support Specialists,430,20.82,43300
38129,GA,12020,"Athens-Clarke County, GA",15-1152,Computer Network Support Specialists,30,23.17,48200
38130,GA,12020,"Athens-Clarke County, GA",15-1199,"Computer Occupations, All Other",70,37.25,77490
38443,GA,12060,"Atlanta-Sandy Springs-Roswell, GA",15-0000,Computer and Mathematical Occupations,115940,42.52,88440
38444,GA,12060,"Atlanta-Sandy Springs-Roswell, GA",15-1111,Computer and Information Research Scientists,520,54.37,113100
38445,GA,12060,"Atlanta-Sandy Springs-Roswell, GA",15-1121,Computer Systems Analysts,13930,43.46,90400
38446,GA,12060,"Atlanta-Sandy Springs-Roswell, GA",15-1122,Information Security Analysts,2430,44.6,92770
38447,GA,12060,"Atlanta-Sandy Springs-Roswell, GA",15-1131,Computer Programmers,5800,42.12,87610
38448,GA,12060,"Atlanta-Sandy Springs-Roswell, GA",15-1132,"Software Developers, Applications",23870,50.38,104780
38449,GA,12060,"Atlanta-Sandy Springs-Roswell, GA",15-1133,"Software Developers, Systems Software",10500,49.2,102350
38450,GA,12060,"Atlanta-Sandy Springs-Roswell, GA",15-1134,Web Developers,2340,37.92,78860
38451,GA,12060,"Atlanta-Sandy Springs-Roswell, GA",15-1141,Database Administrators,3440,44.44,92440
38452,GA,12060,"Atlanta-Sandy Springs-Roswell, GA",15-1142,Network and Computer Systems Administrators,8830,43.5,90480
38453,GA,12060,"Atlanta-Sandy Springs-Roswell, GA",15-1143,Computer Network Architects,4620,55.03,114470
38454,GA,12060,"Atlanta-Sandy Springs-Roswell, GA",15-1151,Computer User Support Specialists,17770,26.22,54530
38455,GA,12060,"Atlanta-Sandy Springs-Roswell, GA",15-1152,Computer Network Support Specialists,5520,34.13,70980
38456,GA,12060,"Atlanta-Sandy Springs-Roswell, GA",15-1199,"Computer Occupations, All Other",13290,43.48,90430
38457,GA,12060,"Atlanta-Sandy Springs-Roswell, GA",15-2011,Actuaries,180,61.72,128380
38458,GA,12060,"Atlanta-Sandy Springs-Roswell, GA",15-2031,Operations Research Analysts,2240,32.33,67240
38459,GA,12060,"Atlanta-Sandy Springs-Roswell, GA",15-2041,Statisticians,660,43.27,90000
39126,GA,12260,"Augusta-Richmond County, GA-SC",15-0000,Computer and Mathematical Occupations,3190,33.94,70590
39127,GA,12260,"Augusta-Richmond County, GA-SC",15-1121,Computer Systems Analysts,630,32.97,68570
39128,GA,12260,"Augusta-Richmond County, GA-SC",15-1122,Information Security Analysts,70,39.02,81160
39129,GA,12260,"Augusta-Richmond County, GA-SC",15-1131,Computer Programmers,120,31.54,65610
39130,GA,12260,"Augusta-Richmond County, GA-SC",15-1132,"Software Developers, Applications",370,40.51,84250
39131,GA,12260,"Augusta-Richmond County, GA-SC",15-1133,"Software Developers, Systems Software",140,40.33,83880
39132,GA,12260,"Augusta-Richmond County, GA-SC",15-1134,Web Developers,60,33.49,69660
39133,GA,12260,"Augusta-Richmond County, GA-SC",15-1141,Database Administrators,70,*,*
39134,GA,12260,"Augusta-Richmond County, GA-SC",15-1142,Network and Computer Systems Administrators,320,34.88,72560
39135,GA,12260,"Augusta-Richmond County, GA-SC",15-1143,Computer Network Architects,60,47.34,98460
39136,GA,12260,"Augusta-Richmond County, GA-SC",15-1151,Computer User Support Specialists,580,23.4,48660
39137,GA,12260,"Augusta-Richmond County, GA-SC",15-1152,Computer Network Support Specialists,170,26.23,54550
39138,GA,12260,"Augusta-Richmond County, GA-SC",15-1199,"Computer Occupations, All Other",550,38.57,80230
39139,GA,12260,"Augusta-Richmond County, GA-SC",15-2031,Operations Research Analysts,40,31.43,65370
39558,GA,15260,"Brunswick, GA",15-0000,Computer and Mathematical Occupations,660,36.18,75250
39559,GA,15260,"Brunswick, GA",15-1121,Computer Systems Analysts,130,35.7,74260
39560,GA,15260,"Brunswick, GA",15-1132,"Software Developers, Applications",120,46.44,96590
39561,GA,15260,"Brunswick, GA",15-1133,"Software Developers, Systems Software",50,47.46,98720
39562,GA,15260,"Brunswick, GA",15-1142,Network and Computer Systems Administrators,60,38.23,79520
39563,GA,15260,"Brunswick, GA",15-1151,Computer User Support Specialists,140,20.11,41830
39564,GA,15260,"Brunswick, GA",15-1199,"Computer Occupations, All Other",80,40.1,83410
39777,GA,17980,"Columbus, GA-AL",15-0000,Computer and Mathematical Occupations,3330,39.33,81800
39778,GA,17980,"Columbus, GA-AL",15-1121,Computer Systems Analysts,630,38.15,79350
39779,GA,17980,"Columbus, GA-AL",15-1122,Information Security Analysts,70,35.42,73680
39780,GA,17980,"Columbus, GA-AL",15-1131,Computer Programmers,110,37.88,78800
39781,GA,17980,"Columbus, GA-AL",15-1132,"Software Developers, Applications",780,48.21,100280
39782,GA,17980,"Columbus, GA-AL",15-1133,"Software Developers, Systems Software",140,40.32,83870
39783,GA,17980,"Columbus, GA-AL",15-1141,Database Administrators,80,46.74,97220
39784,GA,17980,"Columbus, GA-AL",15-1142,Network and Computer Systems Administrators,160,36.76,76460
39785,GA,17980,"Columbus, GA-AL",15-1143,Computer Network Architects,**,55.34,115110
39786,GA,17980,"Columbus, GA-AL",15-1151,Computer User Support Specialists,590,26.59,55300
39787,GA,17980,"Columbus, GA-AL",15-1152,Computer Network Support Specialists,120,37.27,77520
39788,GA,17980,"Columbus, GA-AL",15-1199,"Computer Occupations, All Other",370,39.85,82890
39789,GA,17980,"Columbus, GA-AL",15-2031,Operations Research Analysts,70,31.65,65840
40107,GA,19140,"Dalton, GA",15-0000,Computer and Mathematical Occupations,990,37.19,77350
40108,GA,19140,"Dalton, GA",15-1121,Computer Systems Analysts,200,40.66,84570
40109,GA,19140,"Dalton, GA",15-1131,Computer Programmers,90,31.11,64700
40110,GA,19140,"Dalton, GA",15-1132,"Software Developers, Applications",320,45.38,94390
40111,GA,19140,"Dalton, GA",15-1142,Network and Computer Systems Administrators,60,27.55,57300
40112,GA,19140,"Dalton, GA",15-1151,Computer User Support Specialists,150,22.79,47400
40113,GA,19140,"Dalton, GA",15-1199,"Computer Occupations, All Other",40,26.87,55890
40333,GA,23580,"Gainesville, GA",15-0000,Computer and Mathematical Occupations,800,36.13,75140
40334,GA,23580,"Gainesville, GA",15-1121,Computer Systems Analysts,70,49.96,103910
40335,GA,23580,"Gainesville, GA",15-1132,"Software Developers, Applications",70,40.33,83890
40336,GA,23580,"Gainesville, GA",15-1133,"Software Developers, Systems Software",70,42.17,87720
40337,GA,23580,"Gainesville, GA",15-1141,Database Administrators,40,44.28,92090
40338,GA,23580,"Gainesville, GA",15-1142,Network and Computer Systems Administrators,110,36.59,76100
40339,GA,23580,"Gainesville, GA",15-1151,Computer User Support Specialists,200,21.49,44700
40340,GA,23580,"Gainesville, GA",15-1199,"Computer Occupations, All Other",110,42.85,89130
40584,GA,25980,"Hinesville, GA",15-0000,Computer and Mathematical Occupations,400,*,*
40585,GA,25980,"Hinesville, GA",15-1121,Computer Systems Analysts,**,52.01,108190
40586,GA,25980,"Hinesville, GA",15-1133,"Software Developers, Systems Software",**,47.04,97830
40587,GA,25980,"Hinesville, GA",15-1199,"Computer Occupations, All Other",160,38.79,80680
40731,GA,31420,"Macon, GA",15-0000,Computer and Mathematical Occupations,1610,34.97,72740
40732,GA,31420,"Macon, GA",15-1121,Computer Systems Analysts,440,34.59,71950
40733,GA,31420,"Macon, GA",15-1131,Computer Programmers,80,38.68,80460
40734,GA,31420,"Macon, GA",15-1132,"Software Developers, Applications",110,*,*
40735,GA,31420,"Macon, GA",15-1133,"Software Developers, Systems Software",60,45.01,93630
40736,GA,31420,"Macon, GA",15-1141,Database Administrators,30,33.95,70610
40737,GA,31420,"Macon, GA",15-1142,Network and Computer Systems Administrators,140,34.98,72770
40738,GA,31420,"Macon, GA",15-1143,Computer Network Architects,40,43.14,89720
40739,GA,31420,"Macon, GA",15-1151,Computer User Support Specialists,320,22.54,46890
40740,GA,31420,"Macon, GA",15-1152,Computer Network Support Specialists,40,35.42,73680
40741,GA,31420,"Macon, GA",15-1199,"Computer Occupations, All Other",220,39.75,82680
40742,GA,31420,"Macon, GA",15-2031,Operations Research Analysts,60,27.42,57040
41027,GA,40660,"Rome, GA",15-0000,Computer and Mathematical Occupations,520,*,*
41028,GA,40660,"Rome, GA",15-1121,Computer Systems Analysts,50,31.51,65550
41029,GA,40660,"Rome, GA",15-1132,"Software Developers, Applications",**,47.96,99760
41030,GA,40660,"Rome, GA",15-1133,"Software Developers, Systems Software",40,45.02,93630
41031,GA,40660,"Rome, GA",15-1142,Network and Computer Systems Administrators,60,34.42,71590
41032,GA,40660,"Rome, GA",15-1151,Computer User Support Specialists,110,27.37,56930
41033,GA,40660,"Rome, GA",15-1152,Computer Network Support Specialists,40,26.43,54960
41034,GA,40660,"Rome, GA",15-1199,"Computer Occupations, All Other",40,41.59,86510
41240,GA,42340,"Savannah, GA",15-0000,Computer and Mathematical Occupations,1810,33.16,68960
41241,GA,42340,"Savannah, GA",15-1121,Computer Systems Analysts,250,35.8,74460
41242,GA,42340,"Savannah, GA",15-1131,Computer Programmers,90,*,*
41243,GA,42340,"Savannah, GA",15-1132,"Software Developers, Applications",140,39.71,82610
41244,GA,42340,"Savannah, GA",15-1133,"Software Developers, Systems Software",90,48.47,100820
41245,GA,42340,"Savannah, GA",15-1134,Web Developers,30,32.77,68160
41246,GA,42340,"Savannah, GA",15-1142,Network and Computer Systems Administrators,130,32.36,67300
41247,GA,42340,"Savannah, GA",15-1143,Computer Network Architects,60,48.25,100360
41248,GA,42340,"Savannah, GA",15-1151,Computer User Support Specialists,480,22.1,45970
41249,GA,42340,"Savannah, GA",15-1152,Computer Network Support Specialists,150,37.6,78210
41250,GA,42340,"Savannah, GA",15-1199,"Computer Occupations, All Other",270,34.3,71350
41251,GA,42340,"Savannah, GA",15-2031,Operations Research Analysts,40,29.3,60940
41620,GA,46660,"Valdosta, GA",15-0000,Computer and Mathematical Occupations,1220,31.61,65760
41621,GA,46660,"Valdosta, GA",15-1121,Computer Systems Analysts,170,35.42,73680
41622,GA,46660,"Valdosta, GA",15-1132,"Software Developers, Applications",**,37.62,78260
41623,GA,46660,"Valdosta, GA",15-1133,"Software Developers, Systems Software",120,45.74,95140
41624,GA,46660,"Valdosta, GA",15-1141,Database Administrators,40,41.2,85700
41625,GA,46660,"Valdosta, GA",15-1142,Network and Computer Systems Administrators,80,30.1,62610
41626,GA,46660,"Valdosta, GA",15-1151,Computer User Support Specialists,**,24.64,51260
41627,GA,46660,"Valdosta, GA",15-1152,Computer Network Support Specialists,90,31.39,65290
41875,GA,47580,"Warner Robins, GA",15-0000,Computer and Mathematical Occupations,1710,36.79,76520
41876,GA,47580,"Warner Robins, GA",15-1121,Computer Systems Analysts,110,35.78,74410
41877,GA,47580,"Warner Robins, GA",15-1122,Information Security Analysts,90,42.31,88010
41878,GA,47580,"Warner Robins, GA",15-1131,Computer Programmers,70,35.82,74520
41879,GA,47580,"Warner Robins, GA",15-1132,"Software Developers, Applications",80,42.1,87560
41880,GA,47580,"Warner Robins, GA",15-1133,"Software Developers, Systems Software",140,49.18,102300
41881,GA,47580,"Warner Robins, GA",15-1142,Network and Computer Systems Administrators,100,35.8,74450
41882,GA,47580,"Warner Robins, GA",15-1151,Computer User Support Specialists,150,21.78,45310
41883,GA,47580,"Warner Robins, GA",15-1152,Computer Network Support Specialists,100,28.47,59220
41884,GA,47580,"Warner Robins, GA",15-1199,"Computer Occupations, All Other",460,37.38,77760
41885,GA,47580,"Warner Robins, GA",15-2031,Operations Research Analysts,**,36.56,76030
42124,HI,27980,"Kahului-Wailuku-Lahaina, HI",15-0000,Computer and Mathematical Occupations,440,37.61,78230
42125,HI,27980,"Kahului-Wailuku-Lahaina, HI",15-1121,Computer Systems Analysts,90,33.79,70290
42126,HI,27980,"Kahului-Wailuku-Lahaina, HI",15-1131,Computer Programmers,90,43.21,89870
42127,HI,27980,"Kahului-Wailuku-Lahaina, HI",15-1132,"Software Developers, Applications",40,*,*
42128,HI,27980,"Kahului-Wailuku-Lahaina, HI",15-1134,Web Developers,**,29.02,60350
42129,HI,27980,"Kahului-Wailuku-Lahaina, HI",15-1142,Network and Computer Systems Administrators,50,34.92,72630
42130,HI,27980,"Kahului-Wailuku-Lahaina, HI",15-1151,Computer User Support Specialists,50,23.94,49800
42131,HI,27980,"Kahului-Wailuku-Lahaina, HI",15-1199,"Computer Occupations, All Other",30,39.9,83000
42418,HI,46520,"Urban Honolulu, HI",15-0000,Computer and Mathematical Occupations,8730,38.92,80950
42419,HI,46520,"Urban Honolulu, HI",15-1111,Computer and Information Research Scientists,120,50.71,105480
42420,HI,46520,"Urban Honolulu, HI",15-1121,Computer Systems Analysts,1320,39.69,82560
